"Package","FCOH","CU","CPC","PF","IPSC","DCO","CR","pkgreuse","CyclicDQ","CyclicCQ","CH","COHM","COUM","post"
"org.apache.camel",0.021704939,0.035125379,0.604371585,0.106797047,0.637318769,16.14492754,0.333333333,0.2929,0.9444,0.6667,0.2929,0.0101,0.588,63
"org.apache.camel.bam",0.166666667,0.125,1,1,1,0.857142857,0,0.2929,0.9677,0.8387,0.2929,0.1176,0.5789,0
"org.apache.camel.bam.model",0.22,0.093434343,1,0.916666667,0.944444444,1.833333333,0,0.2929,0.4,0,0.4169,0.1277,0.4,0
"org.apache.camel.bam.processor",0.1,0.03030303,0.333333333,0.5,1,0.5,0,0.2929,0.9655,0.8966,0.2929,0.1395,0.5714,0
"org.apache.camel.bam.rules",0.2,0.096590909,1,0.583333333,0.864583333,2.333333333,0.333333333,0.375,0.9032,0.8387,0.625,0.0256,0.8,0
"org.apache.camel.builder",0.003125,0.013661017,0.426470588,0.085714286,0.872991686,4.25,0.416666667,0.2929,0.9896,0.9896,0.2929,0.0057,0.7283,43
"org.apache.camel.builder.saxon",0,1,1,1,0,0,0.5,0.2929,1,0.9667,0.2929,0.0323,0.8889,0
"org.apache.camel.builder.script",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.125,0.5556,0
"org.apache.camel.builder.script.example",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.builder.sql",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.1875,0.5,0
"org.apache.camel.builder.xml",0,0,0,0.333333333,1,0.444444444,0.555555556,0.2929,1,1,0.2929,0.1778,0.451,1
"org.apache.camel.component",0,0,0,0.5,1,4,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.amqp",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.1818,0.6667,0
"org.apache.camel.component.atom",0,1,1,1,0,0,0.411764706,0.2929,1,0.8222,0.2929,0.3333,0.2069,0
"org.apache.camel.component.bean",0.011661808,0.059180913,0.308333333,0.142857143,0.828109815,0.64,0.36,0.2929,0.9951,0.9466,0.2929,0.1862,0.2477,13
"org.apache.camel.component.cxf",0.013062409,0.059259259,0.533333333,0.25,0.851851852,0.277777778,0.425925926,0.2929,1,0.908,0.2929,0.2722,0.1731,0
"org.apache.camel.component.cxf.converter",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.cxf.feature",0.333333333,0.045454545,1,1,1,0.5,0.5,0.2929,1,1,0.2929,0.1667,0.5,0
"org.apache.camel.component.cxf.interceptors",0.181818182,0.333333333,1,1,1,0.416666667,0.083333333,0.2929,0,0,0.2929,0.8,0.0588,0
"org.apache.camel.component.cxf.invoker",0.428571429,0.045454545,1,1,1,0.5,0.125,0.2929,1,1,0.2929,0.6207,0.25,0
"org.apache.camel.component.cxf.spring",0,1,1,1,1,0.4,0.6,0.2929,1,1,0.2929,0.3,0.4,0
"org.apache.camel.component.cxf.transport",0,0.166666667,0.333333333,0.5,1,0.375,0.25,0.2929,1,0.9091,0.2929,0.2632,0.3478,0
"org.apache.camel.component.cxf.transport.spring",0,1,1,1,0,0,0.75,0.2929,1,1,0.2929,0.5714,0.3333,0
"org.apache.camel.component.cxf.util",0.05952381,0.045454545,1,1,1,0.461538462,0.076923077,0.2929,1,1,0.2929,0.1639,0.5,0
"org.apache.camel.component.dataset",0,1,1,1,0,0,0.636363636,0.2929,1,0.8919,0.2929,0.3214,0.25,6
"org.apache.camel.component.direct",0,1,1,1,0,0,0.6,0.2929,1,0.8333,0.2929,0.2,0.4,2
"org.apache.camel.component.event",0.2,0.017241379,1,1,1,0.333333333,0.166666667,0.2929,1,0.6667,0.2929,0.2,0.5,0
"org.apache.camel.component.file",0.002583979,0.135416667,0.666666667,0.333333333,0.942386831,0.260869565,0.217391304,0.2929,1,0.9479,0.2929,0.1511,0.25,24
"org.apache.camel.component.file.remote",0,1,1,1,0,0,0.192307692,0.2929,1,0.9394,0.2929,0.2826,0.0796,0
"org.apache.camel.component.file.strategy",0,1,1,1,0,0,0.25,0.2929,1,1,0.2929,0.4242,0.2222,4
"org.apache.camel.component.flatpack",0,1,1,1,0,0,0.529411765,0.2929,1,0.975,0.2929,0.1579,0.375,0
"org.apache.camel.component.freemarker",0,1,1,1,0,0,0.1,0.2929,1,1,0.2929,0.1026,0.6667,0
"org.apache.camel.component.hl7",0,1,1,1,0,0,0,0.2929,1,0.95,0.2929,0.2,0.4444,0
"org.apache.camel.component.http",0.04,0.142857143,1,0.541666667,0.770833333,0.5,0.192307692,0.2929,1,0.8462,0.2929,0.2405,0.1364,0
"org.apache.camel.component.http.helper",1,1,1,1,1,1,0,0.5,0,0,0.2929,1,1,0
"org.apache.camel.component.ibatis",0,1,1,1,0,0,0,0.2929,1,0.7391,0.2929,0.303,0.3333,0
"org.apache.camel.component.irc",0,1,1,1,0,0,0.454545455,0.2929,1,0.4583,0.2929,0.52,0.1333,0
"org.apache.camel.component.jcr",0,1,1,1,0,0,0.166666667,0.2929,1,0.8333,0.2929,0.1563,0.5455,0
"org.apache.camel.component.jdbc",0,1,1,1,0,0,0.428571429,0.2929,1,0.9394,0.2929,0.1,0.6364,0
"org.apache.camel.component.jetty",0,1,1,1,0,0,0.47826087,0.2929,1,0.9843,0.2929,0.0797,0.3889,0
"org.apache.camel.component.jhc",0,1,1,1,0,0,0.2,0.2929,1,0.7059,0.2929,0.4333,0.1875,0
"org.apache.camel.component.jms",0.003710575,0.17,0.7,0.290909091,0.894628099,0.32,0.32,0.2929,0.9895,0.7895,0.2929,0.2439,0.1554,0
"org.apache.camel.component.jms.bind",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.125,0.75,0
"org.apache.camel.component.jms.discovery",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.3333,0.6,0
"org.apache.camel.component.jms.issues",0,1,1,1,0,0,0.266666667,0.2929,1,1,0.2929,0.037,0.75,0
"org.apache.camel.component.jms.remoting",0,1,1,1,0,0,1,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.jms.requestor",0.071428571,0.043478261,1,1,1,0.375,0.375,0.2929,0.8462,0.4615,0.3597,0.3087,0.1786,0
"org.apache.camel.component.jms.temp",0,1,1,1,0,0,0.333333333,0.2929,1,0.9167,0.2929,0.1429,0.6667,0
"org.apache.camel.component.jms.tx",0,1,1,1,0,0,0.363636364,0.2929,1,1,0.2929,0.1739,0.5,0
"org.apache.camel.component.jmx",0,1,1,1,0,0,0.2,0.2929,1,0.5714,0.4615,0.3636,0.2,0
"org.apache.camel.component.jpa",0,1,1,1,1,0.066666667,0.533333333,0.2929,1,0.8696,0.2929,0.3239,0.1786,0
"org.apache.camel.component.jt400",0,1,1,1,0,0,0.428571429,0.2929,1,0.7273,0.2929,0.3514,0.2353,0
"org.apache.camel.component.ldap",0,1,1,1,0,0,0.2,0.2929,1,0.8667,0.2929,0.1842,0.4615,0
"org.apache.camel.component.list",0,1,1,1,1,0.333333333,0.666666667,0.2929,1,1,0.2929,0.0435,0.875,0
"org.apache.camel.component.log",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.0385,0.8889,1
"org.apache.camel.component.mail",0,1,1,1,0,0,0.166666667,0.2929,1,0.9032,0.2929,0.2201,0.1667,0
"org.apache.camel.component.mail.security",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.5,0.5,0
"org.apache.camel.component.mina",0,1,1,1,0,0,0.446808511,0.2929,1,0.936,0.2929,0.1527,0.1842,0
"org.apache.camel.component.mock",0.032201915,0.080700476,0.666666667,0.402298851,0.915708812,26.25,0.25,0.2929,1,0.8929,0.2929,0.0017,0.949,4
"org.apache.camel.component.pojo",0,1,1,1,0,0,0.666666667,0.2929,1,1,0.2929,0.3333,0.5714,0
"org.apache.camel.component.quartz",0,1,1,1,0,0,0.4,0.2929,1,0.7059,0.2929,0.2917,0.3,0
"org.apache.camel.component.ref",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.restlet",0,1,1,1,0,0,0.357142857,0.2929,1,0.8378,0.2929,0.3091,0.2917,0
"org.apache.camel.component.restlet.converter",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.restlet.route",0,1,1,1,0,0,1,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.rmi",0,1,1,1,0,0,0.375,0.2929,1,0.8065,0.2929,0.2326,0.2857,0
"org.apache.camel.component.seda",0.111111111,0.2,1,1,1,0.2,0.3,0.2929,1,0.9167,0.2929,0.112,0.5333,2
"org.apache.camel.component.spring.integration",0.076923077,0.111111111,0.333333333,0.5,1,0.285714286,0.5,0.2929,1,0.8095,0.2929,0.2411,0.2917,0
"org.apache.camel.component.spring.integration.adapter",0,0.5,1,1,1,0.333333333,0.333333333,0.2929,1,0.9412,0.2929,0.2,0.5,0
"org.apache.camel.component.spring.integration.adapter.config",0,1,1,1,0,0,0.75,0.2929,1,1,0.2929,0.5714,0.3333,0
"org.apache.camel.component.spring.integration.converter",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.sql",0,1,1,1,0,0,0.166666667,0.2929,1,0.9231,0.2929,0.129,0.6,0
"org.apache.camel.component.stream",0,1,1,1,0,0,0.454545455,0.2929,1,0.8611,0.2929,0.1364,0.3333,0
"org.apache.camel.component.stringtemplate",0,1,1,1,0,0,0.2,0.2929,1,0.9259,0.2929,0.069,0.8,0
"org.apache.camel.component.swing",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.test",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.1053,0.6667,0
"org.apache.camel.component.timer",0,1,1,1,0,0,0.333333333,0.2929,1,0.7619,0.2929,0.2069,0.4545,0
"org.apache.camel.component.uface",0,0.25,1,1,1,0.4,0.4,0.2929,1,0.8571,0.2929,0.1463,0.7273,0
"org.apache.camel.component.uface.swing",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.125,0.8,0
"org.apache.camel.component.validator",0.125,0.5,1,0.666666667,0.833333333,1.333333333,0.333333333,0.441,1,1,0.441,0.0667,0.8889,0
"org.apache.camel.component.validator.jing",0,1,1,1,0,0,0.6,0.2929,1,1,0.2929,0.2308,0.6667,0
"org.apache.camel.component.validator.msv",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.velocity",0,1,1,1,0,0,0.111111111,0.2929,1,0.9412,0.2929,0.1053,0.6667,0
"org.apache.camel.component.vm",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.component.xmpp",0,1,1,1,0,0,0.25,0.2929,1,0.7209,0.2929,0.3582,0.2,0
"org.apache.camel.component.xquery",0,1,1,1,1,0.076923077,0.076923077,0.2929,1,1,0.2929,0.127,0.619,0
"org.apache.camel.component.xslt",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.1364,0.7692,0
"org.apache.camel.converter",0.003759398,0.037633713,0.333333333,0.297619048,0.941043084,1.666666667,0.533333333,0.2929,0.9697,0.9697,0.2929,0.08,0.7429,4
"org.apache.camel.converter.jaxb",0,1,1,1,1,0.083333333,0,0.2929,1,1,0.2929,0.3117,0.4,0
"org.apache.camel.converter.jaxp",0.075,0.040492859,0.5,0.384615385,0.875739645,3.333333333,0,0.2929,0.8889,0.8889,0.2929,0.0396,0.8947,4
"org.apache.camel.converter.stream",0,1,1,1,1,1.666666667,0.333333333,0.2929,1,0.8571,0.2929,0.4167,0.375,4
"org.apache.camel.converter.xmlbeans",0,1,1,1,0,0,0.2,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.dataformat.csv",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.dataformat.hl7",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.0667,0.8571,0
"org.apache.camel.dataformat.supercsv",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.dataformat.tagsoup",0,1,1,1,1,0.2,0.2,0.2929,1,1,0.2929,0.1364,0.6667,0
"org.apache.camel.dataformat.xstream",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.1818,0.5,0
"org.apache.camel.example",0,1,1,1,0,0,0.625,0.2929,1,1,0.2929,0.2308,0.5385,0
"org.apache.camel.example.axis",0,1,1,1,0,0,0.25,0.2929,1,1,0.2929,0.5,0.3333,0
"org.apache.camel.example.bam",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.example.camel.transport",0,1,1,1,0,0,0.5,0.2929,0,0,0.2929,1,0,0
"org.apache.camel.example.client",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.example.cxf",0,1,1,1,0,0,0.5,0.2929,1,1,0.3991,0.4286,0.5,0
"org.apache.camel.example.cxf.provider",0,1,1,1,0,0,0.2,0.2929,1,1,0.2929,0.5,0.3333,0
"org.apache.camel.example.docs",0,1,1,1,0,0,1,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.example.etl",0,1,1,1,0,0,0.4,0.2929,1,1,0.2929,0.3333,0.625,0
"org.apache.camel.example.guice.jms",0,1,1,1,0,0,0.25,0.2929,1,1,0.2929,0.2222,0.7143,0
"org.apache.camel.example.jms",1,1,1,1,1,1,0,0.5,0,0,0.2929,0.6667,0.5,0
"org.apache.camel.example.jmstofile",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.camel.example.osgi",0,1,1,1,0,0,1,0.2929,0,0,0.2929,1,1,0
"org.apache.camel.example.server",0,1,1,1,1,0.25,0.75,0.2929,1,1,0.2929,0.1429,0.75,0
"org.apache.camel.example.spring",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.1667,0.8,0
"org.apache.camel.examples",0,0.166666667,1,1,1,1,0,0.5,1,1,0.5,0,1,0
"org.apache.camel.foo.bar",0,1,1,1,1,0.5,0.5,0.2929,1,1,0.2929,0.4,0.6667,0
"org.apache.camel.guice",0,0.2,1,1,1,0.125,0.5625,0.2929,1,1,0.2929,0.2838,0.3636,0
"org.apache.camel.guice.consume",0,1,1,1,0,0,1,0.2929,1,1,0.2929,0.3333,0.5,0
"org.apache.camel.guice.impl",0.333333333,0.1,1,1,1,1,0,0.5,1,1,0.5,0,1,0
"org.apache.camel.guice.maven",0,1,1,1,0,0,0,0.2929,0,0,0.2929,1,0,0
"org.apache.camel.guice.produce",0,1,1,1,0,0,0.666666667,0.2929,1,1,0.2929,0.5,0.3333,0
