"Package","FCOH","CU","CPC","PF","IPSC","DCO","CR","pkgreuse","CyclicDQ","CyclicCQ","CH","COHM","COUM","post"
"com.ibm.oti.vm",1,1,1,1,1,1,0,0.5,0,0,0.2929,1,1,0
"com.sun.jdi",0.040866511,0.054749194,0.988700565,0.16,0.73675716,3.096774194,0.241935484,0.2929,1,-3.6667,0.2929,0.1116,0.1716,0
"com.sun.jdi.connect",0.166666667,0.132653061,1,0.4,0.85,2,0.428571429,0.3597,1,1,0.3597,0.2963,0.4286,0
"com.sun.jdi.event",0.034482759,0.088283868,0.936842105,0.325,0.773809524,1.95,0.6,0.2929,1,1,0.2929,0.1854,0.2963,0
"com.sun.jdi.request",0.070208729,0.11235119,1,0.254901961,0.785112564,2.166666667,0.333333333,0.2929,1,1,0.2929,0.1011,0.2632,0
"org.eclipse.ant.core",0,0,0,0.5,1,3,0,0.2929,0.9412,0.9412,0.2929,0.0187,0.9,13
"org.eclipse.ant.internal.core",0.225,0.081111111,0.6,0.555555556,0.685185185,1.666666667,0.166666667,0.2929,0.9333,0.9333,0.2929,0.064,0.5556,2
"org.eclipse.ant.internal.core.ant",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.2667,0.4286,31
"org.eclipse.compare",0.076576577,0.025895974,0.830065359,0.368686869,0.672291093,3.842105263,0.210526316,0.2929,0.9562,0.9124,0.2929,0.0282,0.4545,1
"org.eclipse.compare.contentmergeviewer",0.036363636,0.017339261,0.6,0.4,0.921875,1.333333333,0,0.2929,0.9845,0.9457,0.2929,0.0312,0.7027,0
"org.eclipse.compare.internal",0.041017227,0.021026621,0.563218391,0.272222222,0.582644725,0.907407407,0.351851852,0.2929,0.9816,0.9609,0.2929,0.0586,0.3036,1
"org.eclipse.compare.internal.patch",0,1,1,1,0,0,0.083333333,0.2929,1,0.9448,0.2929,0.1808,0.4286,1
"org.eclipse.compare.rangedifferencer",0.25,0.038461538,1,1,1,0.6,0,0.2929,1,1,0.2929,0.3529,0.3333,0
"org.eclipse.compare.structuremergeviewer",0.150641026,0.026646235,0.935897436,0.468531469,0.660572073,5.153846154,0.076923077,0.2929,1,0.8714,0.3324,0.0506,0.4182,0
"org.eclipse.core.boot",0.27027027,0.074330709,1,0.583333333,0.819166667,11.66666667,0.333333333,0.3597,0,0,0.3597,0.0629,0.8,0
"org.eclipse.core.internal.boot",0.083333333,0.080820965,0.857142857,0.303571429,0.847667638,1.307692308,0,0.2929,0.8889,-1.1111,0.5,0.3887,0.1579,2
"org.eclipse.core.internal.dtree",0.109375,0.166161616,1,0.590909091,0.795454545,0.764705882,0.117647059,0.2929,1,0.0769,0.2929,0.307,0.0571,0
"org.eclipse.core.internal.events",0.053030303,0.041666667,0.583333333,0.333333333,1,0.692307692,0,0.2929,0.9732,0.9554,0.2929,0.0915,0.2571,4
"org.eclipse.core.internal.indexing",0.048245614,0.142857143,1,0.9,0.95,0.230769231,0.128205128,0.2929,1,-9.6667,0.3818,0.6978,0.0158,0
"org.eclipse.core.internal.localstore",0.087719298,0.071428571,1,1,1,0.55,0.15,0.2929,0.9634,0.9207,0.2929,0.085,0.1228,7
"org.eclipse.core.internal.plugins",0.052631579,0.042897648,0.511111111,0.3,0.767857143,0.6,0.25,0.2929,0.9663,0.9279,0.2929,0.0914,0.2143,5
"org.eclipse.core.internal.properties",0,0.071428571,0.666666667,0.666666667,0.75,0.5,0.125,0.2929,0.9636,0.9636,0.2929,0.0769,0.3333,0
"org.eclipse.core.internal.resources",0.039506173,0.084063698,0.672364672,0.435185185,0.572370302,0.770491803,0.081967213,0.2929,0.9688,0.8187,0.2929,0.1528,0.0467,10
"org.eclipse.core.internal.runtime",0.033730159,0.029006738,0.777777778,0.333333333,0.741269841,0.947368421,0,0.2929,0.9053,0.8842,0.2929,0.0552,0.275,2
"org.eclipse.core.internal.utils",0.042929293,0.097461052,0.833333333,0.320987654,0.783656673,2.166666667,0,0.2929,1,1,0.2929,0.0307,0.5263,0
"org.eclipse.core.internal.watson",0.018518519,0.050925926,0.666666667,0.407407407,0.756613757,0.6875,0.3125,0.2929,1,0.8077,0.2929,0.125,0.1538,0
"org.eclipse.core.launcher",0,1,1,1,0,0,0,0.2929,0,0,0.2929,1,0,0
"org.eclipse.core.resources",0.060080241,0.054030008,0.965591398,0.195381232,0.619595499,34.38709677,0.161290323,0.2929,0.9359,0.7051,0.2929,0.004,0.7418,7
"org.eclipse.core.resources.ant",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.069,0.6,0
"org.eclipse.core.resources.team",0.363636364,0.067226891,1,0.75,0.875,4.5,0,0.441,1,1,0.441,0.0148,0.8889,0
"org.eclipse.core.runtime",0.048759386,0.060746035,0.941935484,0.217402052,0.583288818,56.74193548,0.129032258,0.2929,0.75,0.25,0.2929,0.0097,0.8038,0
"org.eclipse.core.runtime.model",0.240530303,0.084303076,1,0.518518519,0.687330982,4.307692308,0,0.2929,0.8333,0.1667,0.2929,0.0927,0.2449,1
"org.eclipse.debug.core",0.065073041,0.062509831,0.923976608,0.299707602,0.647141044,10.78947368,0.263157895,0.2929,0.9032,0.8387,0.2929,0.0121,0.5634,1
"org.eclipse.debug.core.model",0.045384615,0.030306894,0.683794466,0.24048913,0.671429764,6.807692308,0.115384615,0.2929,0.9565,0.7826,0.2929,0.0475,0.439,1
"org.eclipse.debug.internal.core",0.071428571,0.025,1,0.375,0.84375,0.6,0.066666667,0.2929,0.969,0.876,0.2929,0.1508,0.1282,3
"org.eclipse.debug.internal.ui",0.058670143,0.027131341,0.844444444,0.381818182,0.758520268,3,0.214285714,0.2929,0.9392,0.8986,0.2929,0.0085,0.6667,0
