"Package","FCOH","CU","CPC","PF","IPSC","DCO","CR","pkgreuse","CyclicDQ","CyclicCQ","CH","COHM","COUM","post"
"org.eclipse.jdt.core",0.052823588,0.027587226,0.873770492,0.193442623,0.595960506,4.214285714,0.157142857,0.2929,0.8347,0.6364,0.2929,0.0358,0.1691,11
"org.eclipse.jdt.core.compiler",0.035864979,0.032272112,0.8,0.255555556,0.741448045,9.2,0.2,0.2929,0.9,0.9,0.2929,0.0221,0.8571,1
"org.eclipse.jdt.core.compiler.batch",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.eclipse.jdt.core.dom",0.075959129,0.250038735,0.913220734,0.322303922,0.582999965,1.962686567,0.074626866,0.2929,0.9958,-0.4256,0.4993,0.2259,0.0146,9
"org.eclipse.jdt.core.dom.rewrite",0.016666667,0.020454545,0.333333333,0.416666667,0.944444444,1,0,0.2929,1,0.9636,0.2929,0.0276,0.5714,1
"org.eclipse.jdt.core.eval",0.2,0.090909091,1,0.555555556,0.851851852,1.666666667,0,0.3991,0.8889,0.8889,0.3991,0.0741,0.7143,0
"org.eclipse.jdt.core.formatter",0.083333333,0.081988362,1,0.666666667,0.819444444,3,0.25,0.2929,0.8889,0.8889,0.2929,0.0833,0.8,2
"org.eclipse.jdt.core.jdom",0.160839161,0.071428571,1,1,1,1,0,0.5,1,1,0.5,0.3221,0.1429,0
"org.eclipse.jdt.core.search",0.051488834,0.03561705,0.84057971,0.229166667,0.686174603,2.037037037,0.444444444,0.2929,0.9351,0.8831,0.2929,0.0488,0.2879,8
"org.eclipse.jdt.core.util",0.110039705,0.024523236,0.958188153,0.297619048,0.772611789,1.136363636,0.136363636,0.2929,1,1,0.2929,0.3081,0.0952,2
"org.eclipse.jdt.internal.antadapter",1,1,1,1,1,1,0,0.5,0,0,0.2929,1,1,0
"org.eclipse.jdt.internal.codeassist",0.031746032,0.011907115,0.464285714,0.291666667,0.885185185,0.933333333,0.333333333,0.2929,0.9937,0.9725,0.2929,0.0219,0.434,13
"org.eclipse.jdt.internal.codeassist.complete",0.168831169,0.043478261,1,0.512820513,0.756410256,0.888888889,0.2,0.2929,1,0.9881,0.3123,0.11,0.14,2
"org.eclipse.jdt.internal.codeassist.impl",0.08974359,0.04360567,1,0.238095238,0.859126984,1.428571429,0.285714286,0.3491,1,0.9478,0.3491,0.0455,0.4857,1
"org.eclipse.jdt.internal.codeassist.select",0.227272727,0.043478261,1,1,1,0.260869565,0.086956522,0.2929,1,0.9886,0.3597,0.1484,0.2549,1
"org.eclipse.jdt.internal.compiler",0.022131148,0.022728369,0.508333333,0.2075,0.68728254,3.952380952,0.333333333,0.2929,0.681,0.6534,0.2929,0.0051,0.4737,10
"org.eclipse.jdt.internal.compiler.ast",0.062233694,0.037693062,0.966424368,0.321373457,0.576301698,7.642201835,0.412844037,0.2929,0.8419,0.7947,0.2929,0.0174,0.0796,59
"org.eclipse.jdt.internal.compiler.batch",0,0,0,0.5,1,0.25,0.125,0.2929,1,0.9322,0.4817,0.219,0.3235,3
"org.eclipse.jdt.internal.compiler.classfmt",0.011456628,0.040157419,1,0.32,0.82432,3.428571429,0.428571429,0.2929,0.9831,0.8814,0.2929,0.0943,0.4923,0
"org.eclipse.jdt.internal.compiler.codegen",0.02872777,0.020779301,0.705128205,0.296703297,0.717006803,1.5,0.833333333,0.2929,0.8485,0.7273,0.2929,0.0168,0.3404,8
"org.eclipse.jdt.internal.compiler.env",0.060041408,0.0303267,1,0.272727273,0.660446383,6.272727273,0.181818182,0.3075,1,1,0.3075,0.0791,0.5098,0
"org.eclipse.jdt.internal.compiler.flow",0.139118457,0.028924964,1,0.327272727,0.765454545,1.5,0.583333333,0.2929,0.9294,0.8353,0.2929,0.0269,0.2558,6
"org.eclipse.jdt.internal.compiler.impl",0.037762238,0.023764966,0.78021978,0.178571429,0.728103741,5,0.714285714,0.2929,0.8333,-0.1667,0.2929,0.0176,0.6667,1
"org.eclipse.jdt.internal.compiler.lookup",0.081526031,0.036716802,0.931737589,0.305288462,0.623666577,6.35,0.35,0.2929,0.7385,0.0269,0.2929,0.026,0.0611,59
"org.eclipse.jdt.internal.compiler.parser",0.057655955,0.040243082,0.719047619,0.217948718,0.683415623,4.958333333,0.708333333,0.2929,0.9769,0.8699,0.2929,0.026,0.2901,15
"org.eclipse.jdt.internal.compiler.parser.diagnose",0.5,0.025641026,1,1,1,0.666666667,0.333333333,0.2929,0.9583,0.9167,0.2929,0.1798,0.5294,0
"org.eclipse.jdt.internal.compiler.problem",0.045908184,0.029501732,0.866666667,0.276923077,0.729585799,7.2,0.4,0.2929,0.5846,0.5846,0.2929,0.0016,0.7391,8
"org.eclipse.jdt.internal.compiler.util",0.022883295,0.019683561,0.489473684,0.167857143,0.630609714,4.7,0.8,0.2929,0.7857,0.7857,0.2929,0.0102,0.8889,1
"org.eclipse.jdt.internal.core",0.019354839,0.016107825,0.423243423,0.165865385,0.523310151,1.326923077,0.256410256,0.2929,0.973,0.8217,0.2929,0.1063,0.0501,50
"org.eclipse.jdt.internal.core.builder",0.017391304,0.012835317,0.214285714,0.25,0.906666667,0.416666667,0.5,0.2929,0.9767,0.8527,0.4467,0.2378,0.1616,7
"org.eclipse.jdt.internal.core.dom",1,1,1,1,1,1,1,0.5,0.9899,0.9899,0.2929,0,1,0
"org.eclipse.jdt.internal.core.dom.rewrite",0.25,0.107291667,1,0.833333333,0.916666667,1.071428571,0.142857143,0.2929,1,0.9669,0.2929,0.1072,0.1667,3
