"Package","FCOH","CU","CPC","PF","IPSC","DCO","CR","pkgreuse","CyclicDQ","CyclicCQ","CH","COHM","COUM","post"
"com.sleepycat.db",1,1,1,1,1,1,0,0.5,0,0,0.2929,1,1,0
"lucli",0,1,1,1,0,0,1,0.2929,1,1,0.2929,0.087,0.75,0
"org.apache.lucene",0,1,1,1,0,0,0.461538462,0.2929,1,0.9801,0.2929,0.0258,0.6923,0
"org.apache.lucene.analysis",0.022630148,0.152304138,0.528571429,0.189542484,0.69007311,5.075,0.25,0.2929,1,0.98,0.2929,0.122,0.3533,6
"org.apache.lucene.analysis.br",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.1818,0.5,0
"org.apache.lucene.analysis.cjk",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.1667,0.5,0
"org.apache.lucene.analysis.cn",0,1,1,1,0,0,0.75,0.2929,1,1,0.2929,0.3,0.25,0
"org.apache.lucene.analysis.compound",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.2632,0.2857,0
"org.apache.lucene.analysis.compound.hyphenation",0.055555556,0.5,1,1,1,0.2,0.5,0.2929,0,0,0.2929,0.65,0.0714,0
"org.apache.lucene.analysis.cz",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.lucene.analysis.de",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.2,0.4,0
"org.apache.lucene.analysis.el",0,1,1,1,0,0,0.25,0.2929,1,1,0.2929,0.3077,0.3333,0
"org.apache.lucene.analysis.fr",0,1,1,1,0,0,0.166666667,0.2929,1,1,0.2929,0.1739,0.3333,0
"org.apache.lucene.analysis.miscellaneous",0.142857143,0.111111111,1,1,1,0.375,0.5,0.2929,1,1,0.2929,0.2373,0.3,0
"org.apache.lucene.analysis.ngram",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.3333,0.1111,2
"org.apache.lucene.analysis.nl",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.2,0.5,0
"org.apache.lucene.analysis.payloads",0,1,1,1,1,0.142857143,0,0.2929,1,1,0.2929,0.3333,0.1818,0
"org.apache.lucene.analysis.query",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.04,0.8571,0
"org.apache.lucene.analysis.ru",0,1,1,1,0,0,0.25,0.2929,1,1,0.2929,0.5,0.0833,0
"org.apache.lucene.analysis.shingle",0,1,1,1,0,0,0.166666667,0.2929,1,1,0.2929,0.339,0.3103,0
"org.apache.lucene.analysis.sinks",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.1818,0.2,0
"org.apache.lucene.analysis.snowball",0,1,1,1,0,0,0,0.2929,1,1,0.3991,0.1875,0.5714,0
"org.apache.lucene.analysis.standard",0.048387097,0.141762452,1,0.440860215,0.977800902,10.25,0,0.2929,1,0.6364,0.5,0.0219,0.8205,1
"org.apache.lucene.analysis.th",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.1538,0.5,0
"org.apache.lucene.ant",0,1,1,1,0,0,0.363636364,0.2929,1,1,0.2929,0.3469,0.2609,0
"org.apache.lucene.benchmark",0.1875,0.090909091,1,0.625,0.8125,1,0.8,0.2929,1,1,0.2929,0.4706,0.4286,0
"org.apache.lucene.benchmark.byTask",0,0,0,0.5,1,1,0.25,0.2929,0.9375,0.9375,0.2929,0.0213,0.6111,0
"org.apache.lucene.benchmark.byTask.feeds",0.025641026,0.081632653,0.5,0.40625,0.8125,0.684210526,0.368421053,0.2929,1,0.9412,0.2929,0.3369,0.2034,0
"org.apache.lucene.benchmark.byTask.programmatic",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.lucene.benchmark.byTask.stats",0.681818182,0.074675325,1,0.833333333,0.916666667,1.666666667,0,0.441,0.3333,0.3333,0.441,0.0426,0.8,0
"org.apache.lucene.benchmark.byTask.tasks",0.038610039,0.090254821,0.490909091,0.340909091,0.65,0.394736842,0.105263158,0.2929,0.9708,0.9562,0.2929,0.1783,0.2679,0
"org.apache.lucene.benchmark.byTask.utils",0.064516129,0.058351371,0.666666667,0.416666667,0.796296296,2.5,1,0.2929,1,1,0.2929,0.0769,0.8,0
"org.apache.lucene.benchmark.quality",0.2,0.2425,1,0.7,0.85,1.166666667,0.5,0.2929,1,1,0.2929,0.32,0.4286,0
"org.apache.lucene.benchmark.quality.trec",0.333333333,0.111111111,1,1,1,0.5,0.5,0.2929,1,1,0.2929,0.1667,0.5714,0
"org.apache.lucene.benchmark.quality.utils",0.333333333,0.134259259,1,0.833333333,0.916666667,1.25,0.25,0.2929,1,1,0.2929,0.0779,0.7692,0
"org.apache.lucene.benchmark.standard",0,1,1,1,1,0.333333333,0.333333333,0.2929,1,1,0.2929,0.0392,0.8462,0
"org.apache.lucene.benchmark.stats",0.25,0.090909091,1,0.625,0.8125,1,0,0.2929,1,1,0.2929,0.2903,0.4,0
"org.apache.lucene.benchmark.utils",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.lucene.demo",0,1,1,1,1,0.333333333,0.166666667,0.2929,1,1,0.2929,0.0625,0.7692,0
"org.apache.lucene.demo.html",0,1,1,1,1,0.181818182,0.454545455,0.2929,0,0,0.2929,0.6563,0.087,0
"org.apache.lucene.document",0.06863711,0.032693138,0.836363636,0.255681818,0.801500109,5.625,0.4375,0.2929,1,0.9091,0.2929,0.039,0.5135,1
"org.apache.lucene.index",0.004901961,0.036401507,0.455840456,0.139139139,0.712673484,0.767955801,0.475138122,0.2929,0.9985,0.8026,0.2929,0.1711,0.0377,49
"org.apache.lucene.index.memory",0,1,1,1,1,0.142857143,0.285714286,0.2929,1,0.9535,0.2929,0.2443,0.3333,1
"org.apache.lucene.index.store",0,1,1,1,0,0,1,0.2929,1,1,0.2929,0,1,0
"org.apache.lucene.misc",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0.0833,0.5,0
"org.apache.lucene.queryParser",0.035476718,0.152474747,1,0.533333333,0.842916667,2.666666667,0.166666667,0.2929,1,1,0.2929,0.0396,0.4426,0
"org.apache.lucene.queryParser.analyzing",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.1111,0.6667,0
"org.apache.lucene.queryParser.precedence",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.3774,0.2,0
"org.apache.lucene.queryParser.surround.parser",0.071428571,0.125,1,1,1,0.25,0.375,0.2929,1,1,0.2929,0.3529,0.1176,0
"org.apache.lucene.queryParser.surround.query",0.380952381,0.5,1,1,1,0.409090909,0.090909091,0.2929,1,0.9825,0.2929,0.3774,0.1379,0
"org.apache.lucene.search",0.014774055,0.042486328,0.411010558,0.13981289,0.620921724,1.702531646,0.405063291,0.2929,1,0.9464,0.2929,0.1971,0.0523,12
"org.apache.lucene.search.function",0,1,1,1,0,0,0.125,0.2929,1,0.9726,0.2929,0.3761,0.1538,1
"org.apache.lucene.search.highlight",0.096153846,0.071428571,1,1,1,0.185185185,0.185185185,0.2929,1,0.9892,0.2929,0.3216,0.1667,0
"org.apache.lucene.search.payloads",0.333333333,0.055555556,1,1,1,0.5,0.5,0.2929,1,0.9804,0.2929,0.0851,0.5385,0
"org.apache.lucene.search.regex",0,1,1,1,0,0,0.444444444,0.2929,1,1,0.2929,0.2581,0.3333,0
"org.apache.lucene.search.similar",0,1,1,1,1,0.333333333,0,0.2929,1,1,0.2929,0.0714,0.7,0
"org.apache.lucene.search.spans",0.080769231,0.098059606,0.916666667,0.567901235,0.76734274,2.19047619,0.619047619,0.2929,1,0.9527,0.2929,0.1366,0.225,2
"org.apache.lucene.search.spell",0,1,1,1,0,0,0.571428571,0.2929,1,0.9512,0.2929,0.3594,0.2069,1
"org.apache.lucene.store",0.021552697,0.048366589,1,0.169921875,0.756774902,2.023255814,0.488372093,0.2929,0.9756,0.7073,0.2929,0.0774,0.2436,13
"org.apache.lucene.store.db",0,1,1,1,0,0,0.75,0.2929,1,0.2727,0.2929,0.5926,0.1111,0
"org.apache.lucene.store.instantiated",0,1,1,1,0,0,0.285714286,0.2929,1,0.8261,0.3103,0.4153,0.1091,5
"org.apache.lucene.store.je",0,1,1,1,0,0,0.571428571,0.2929,1,0.2,0.2929,0.6154,0.0588,0
"org.apache.lucene.swing.models",0,1,1,1,0,0,0.714285714,0.2929,1,0.9355,0.2929,0.4918,0.1667,0
"org.apache.lucene.util",0.007464115,0.018827751,0.639705882,0.173010381,0.763321799,1.923076923,0.346153846,0.2929,1,0.8696,0.2929,0.0973,0.4054,0
"org.apache.lucene.util.cache",0.333333333,0.02173913,1,1,1,0.5,0.5,0.2929,0,0,0.2929,0.8,0.1429,0
"org.apache.lucene.wikipedia.analysis",0,1,1,1,0,0,0.333333333,0.2929,1,0.5,0.2929,0.4286,0.25,0
"org.apache.lucene.wordnet",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.0513,0.75,0
"org.apache.lucene.xmlparser",0.170833333,0.125,1,1,1,0.545454545,0.363636364,0.2929,1,1,0.2929,0.2044,0.2813,0
"org.apache.lucene.xmlparser.builders",0.434782609,0.111111111,1,1,1,0.916666667,0.291666667,0.2929,1,1,0.2929,0.043,0.4444,0
"org.apache.regexp",1,1,1,1,1,1,1,0.5,0,0,0.2929,1,1,0
"org.tartarus.snowball",0.475,1,1,0.75,0.875,1,0.666666667,0.2929,0,0,0.2929,0.1333,0.4,0
"org.tartarus.snowball.ext",0,1,1,1,0,0,0.421052632,0.2929,1,1,0.2929,0,1,0
