"Package","FCOH","CU","CPC","PF","IPSC","DCO","CR","pkgreuse","CyclicDQ","CyclicCQ","CH","COHM","COUM","post"
"org.apache.poi",0,1,1,1,1,0.666666667,0.333333333,0.2929,1,1,0.2929,0.0357,0.875,0
"org.apache.poi.contrib.metrics",0,1,1,1,0,0,1,0.2929,0,0,0.2929,1,1,0
"org.apache.poi.contrib.poibrowser",0,1,1,1,0,0,0.333333333,0.2929,1,1,0.2929,0.4571,0.1579,0
"org.apache.poi.ddf",0.086956522,0.056179986,0.763333333,0.405714286,0.590470485,1.510638298,0.234042553,0.2929,1,0.9221,0.2929,0.2257,0.0495,42
"org.apache.poi.dev",0,1,1,1,0,0,0,0.2929,0,0,0.2929,1,1,0
"org.apache.poi.generator",0.5,1,1,1,1,1,0.5,0.5,0,0,0.5,0.6667,0.5,0
"org.apache.poi.hdf.event",0.166666667,0.166666667,1,1,1,1,0,0.5,1,1,0.5,0.0354,0.7143,0
"org.apache.poi.hdf.extractor",0.035714286,0.5,1,0.75,0.875,0.2,0.266666667,0.2929,1,1,0.2929,0.5773,0.1515,0
"org.apache.poi.hdf.extractor.data",0.4,0.166666667,1,1,1,0.5,0.833333333,0.2929,1,1,0.2929,0.5833,0.2222,0
"org.apache.poi.hdf.extractor.util",0.5,0.166666667,1,1,1,1,0,0.5,0,0,0.5,0.6667,0.1667,0
"org.apache.poi.hdf.generator",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.poi.hdf.model",0,1,1,1,0,0,0.25,0.2929,1,1,0.2929,0.1081,0.6,0
"org.apache.poi.hdf.model.hdftypes",0.085714286,0.139393939,0.74025974,0.3,0.850192308,1.269230769,0.346153846,0.2929,1,1,0.2929,0.2489,0.1714,0
"org.apache.poi.hdf.model.hdftypes.definitions",0.074074074,0.125,1,0.444444444,0.814814815,1.142857143,0.142857143,0.2929,1,1,0.2929,0.0247,0.8333,0
"org.apache.poi.hdf.model.util",0.166666667,0.122222222,0.666666667,0.666666667,0.75,1.333333333,0,0.2929,1,0,0.2929,0.3158,0.5,0
"org.apache.poi.hpsf",0.14375,0.204739294,1,0.364197531,0.767269253,1.787878788,0.242424242,0.2929,1,0.9355,0.2929,0.1916,0.0744,8
"org.apache.poi.hpsf.basic",0,1,1,1,0,0,0.4,0.2929,1,1,0.2929,0.1359,0.2632,0
"org.apache.poi.hpsf.examples",0,1,1,1,0,0,0.666666667,0.2929,1,0.9744,0.2929,0.093,0.5556,0
"org.apache.poi.hpsf.wellknown",0.363636364,0.17037037,1,1,1,3,0.5,0.5,0,0,0.5,0.2,0.75,1
"org.apache.poi.hslf",0,1,1,1,1,1,0.5,0.2929,1,0.9444,0.2929,0.0192,0.6667,0
"org.apache.poi.hslf.blip",0.476190476,0.051020408,0.714285714,0.5,1,0.875,0.125,0.2929,1,1,0.2929,0.2353,0.3333,0
"org.apache.poi.hslf.dev",0,1,1,1,0,0,0.5,0.2929,1,1,0.2929,0,1,0
"org.apache.poi.hslf.exceptions",0.1,0.083333333,1,0.666666667,0.888888889,1.333333333,1,0.2929,0,0,0.2929,1,1,0
"org.apache.poi.hslf.extractor",0,1,1,1,0,0,0.8,0.2929,1,1,0.2929,0.0769,0.75,0
"org.apache.poi.hslf.model",0.035714286,0.066071429,0.75,0.4375,0.850446429,0.482758621,0.310344828,0.2929,0.9674,0.8696,0.2929,0.1821,0.0902,0
"org.apache.poi.hslf.model.textproperties",0.395833333,0.076130952,1,0.8,0.91875,3.2,0.6,0.375,0.6667,0.6667,0.375,0.1143,0.6,0
"org.apache.poi.hslf.record",0.047582794,0.079075728,0.806818182,0.404040404,0.554336273,1.111111111,0.611111111,0.2929,0.9898,0.9898,0.2929,0.2417,0.0843,0
"org.apache.poi.hslf.usermodel",0.024725275,0.092592593,1,0.555555556,0.842592593,0.714285714,0.5,0.2929,0.9394,0.9394,0.2929,0.0268,0.4667,0
"org.apache.poi.hslf.util",0,0.066666667,1,1,1,0.666666667,0.333333333,0.2929,1,1,0.2929,0.4,0.6667,0
"org.apache.poi.hssf",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0,1,0
"org.apache.poi.hssf.contrib.view",0,1,1,1,0,0,0.222222222,0.2929,1,0.963,0.2929,0.2895,0.1538,0
"org.apache.poi.hssf.dev",0,1,1,1,0,0,0,0.2929,1,0.9935,0.2929,0.0129,0.8,4
"org.apache.poi.hssf.eventmodel",0.071428571,0.047619048,0.333333333,0.5,1,0.375,0.375,0.2929,1,1,0.2929,0.0606,0.375,2
"org.apache.poi.hssf.eventusermodel",0.375,0.1875,1,0.833333333,0.916666667,1,0.2,0.2929,1,1,0.2929,0.2258,0.3636,5
"org.apache.poi.hssf.model",0.014383562,0.029401154,0.348484848,0.25,0.74537037,0.857142857,0.238095238,0.2929,0.9935,0.961,0.2929,0.0098,0.325,40
"org.apache.poi.hssf.record",0.021718239,0.063694373,0.598331152,0.254166667,0.665879697,2.259259259,0.078703704,0.2929,0.994,0.9396,0.2929,0.2449,0.0195,227
"org.apache.poi.hssf.record.aggregates",0.171428571,0.039316239,0.466666667,0.444444444,0.944444444,1,0.5,0.2929,1,0.9667,0.2929,0.1151,0.3333,14
"org.apache.poi.hssf.record.formula",0.052843889,0.037662121,0.506892231,0.347953216,0.691915396,1.75,0.132352941,0.2929,1,0.8192,0.2929,0.0803,0.0821,19
"org.apache.poi.hssf.record.formula.eval",0.128451032,0.099454365,0.856060606,0.651515152,0.764778325,1.131578947,0.184210526,0.2929,1,1,0.2929,0.1318,0.0435,0
"org.apache.poi.hssf.record.formula.functions",0.317514124,0.166666667,1,1,1,0.956081081,0.949324324,0.2929,1,1,0.2929,0.2689,0.006,0
"org.apache.poi.hssf.usermodel",0.055272109,0.067372276,0.440602837,0.198863636,0.753069658,1.640625,0.3125,0.2929,1,0.9757,0.2929,0.0789,0.0857,88
"org.apache.poi.hssf.usermodel.contrib",0,1,1,1,0,0,0,0.2929,1,1,0.2929,0.0833,0.6667,0
"org.apache.poi.hssf.usermodel.examples",0,1,1,1,0,0,0.818181818,0.2929,1,1,0.2929,0,1,0
"org.apache.poi.hssf.util",0.028571429,0.036636521,0.41025641,0.207692308,0.831666667,2.076923077,0.076923077,0.2929,1,-45,0.2929,0.1169,0.1587,4
"org.apache.poi.hwpf",0.00877193,0.1,1,0.5,0.875,0.857142857,0.428571429,0.2929,0.9818,0.9818,0.2929,0.0186,0.7333,0
"org.apache.poi.hwpf.extractor",0,1,1,1,0,0,0.666666667,0.2929,1,1,0.2929,0.0833,0.8,0
"org.apache.poi.hwpf.model",0.07,0.07355642,0.787878788,0.450980392,0.683369644,0.901960784,0.666666667,0.2929,1,1,0.2929,0.2309,0.098,0
"org.apache.poi.hwpf.model.io",0.473684211,0.095454545,1,1,1,2,0.5,0.5,0,0,0.5,0.1333,0.6667,0
"org.apache.poi.hwpf.model.types",0.016666667,0.075974026,0.523809524,0.5,1,2,0,0.2929,1,1,0.2929,0,1,0
"org.apache.poi.hwpf.sprm",0.069444444,0.055555556,0.555555556,0.55,0.591666667,0.846153846,0.153846154,0.2929,1,1,0.2929,0.1277,0.2174,0
"org.apache.poi.hwpf.usermodel",0.076363636,0.089818723,0.575,0.375,0.816,1.304347826,0.52173913,0.2929,0.9873,0.8101,0.2929,0.1519,0.1538,0
"org.apache.poi.poifs.common",1,1,1,1,1,4,1,0.5,0,0,0.2929,1,1,0
"org.apache.poi.poifs.dev",0,1,1,1,1,0.666666667,0,0.2929,1,1,0.2929,0.75,0.25,0
